date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:49	91003/91003	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:41:50%20GMT	https://www.w3schools.com/python/python_lists_exercises.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lists_exercises.html	(from https://www.w3schools.com/python/default.asp)
13:01:50	96337/96337	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:52%20GMT	https://www.w3schools.com/python/python_tuples.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_tuples.html	(from https://www.w3schools.com/python/default.asp)
13:01:50	94677/94677	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:35:41%20GMT	https://www.w3schools.com/python/python_tuples_access.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_tuples_access.html	(from https://www.w3schools.com/python/default.asp)
13:01:51	94060/94060	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:38:15%20GMT	https://www.w3schools.com/python/python_tuples_update.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_tuples_update.html	(from https://www.w3schools.com/python/default.asp)
13:01:52	92731/92731	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:42:08%20GMT	https://www.w3schools.com/python/python_tuples_unpack.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_tuples_unpack.html	(from https://www.w3schools.com/python/default.asp)
13:01:52	92535/92535	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:34:08%20GMT	https://www.w3schools.com/python/python_tuples_loop.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_tuples_loop.html	(from https://www.w3schools.com/python/default.asp)
13:01:53	91100/91100	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:34:50%20GMT	https://www.w3schools.com/python/python_tuples_join.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_tuples_join.html	(from https://www.w3schools.com/python/default.asp)
13:01:53	90532/90532	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:37:41%20GMT	https://www.w3schools.com/python/python_tuples_methods.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_tuples_methods.html	(from https://www.w3schools.com/python/default.asp)
13:01:54	91010/91010	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:37:46%20GMT	https://www.w3schools.com/python/python_tuples_exercises.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_tuples_exercises.html	(from https://www.w3schools.com/python/default.asp)
13:01:55	96183/96183	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:32%20GMT	https://www.w3schools.com/python/python_sets.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_sets.html	(from https://www.w3schools.com/python/default.asp)
13:01:55	91259/91259	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:36:48%20GMT	https://www.w3schools.com/python/python_sets_access.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_sets_access.html	(from https://www.w3schools.com/python/default.asp)
13:01:56	92055/92055	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:34:21%20GMT	https://www.w3schools.com/python/python_sets_add.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_sets_add.html	(from https://www.w3schools.com/python/default.asp)
13:01:56	93343/93343	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:42:25%20GMT	https://www.w3schools.com/python/python_sets_remove.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_sets_remove.html	(from https://www.w3schools.com/python/default.asp)
13:01:57	90523/90523	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:38:09%20GMT	https://www.w3schools.com/python/python_sets_loop.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_sets_loop.html	(from https://www.w3schools.com/python/default.asp)
13:01:57	94476/94476	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:38:15%20GMT	https://www.w3schools.com/python/python_sets_join.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_sets_join.html	(from https://www.w3schools.com/python/default.asp)
13:01:58	92469/92469	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:39:01%20GMT	https://www.w3schools.com/python/python_sets_methods.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_sets_methods.html	(from https://www.w3schools.com/python/default.asp)
13:01:59	91065/91065	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:51:23%20GMT	https://www.w3schools.com/python/python_sets_exercises.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_sets_exercises.html	(from https://www.w3schools.com/python/default.asp)
13:01:59	95966/95966	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:00%20GMT	https://www.w3schools.com/python/python_dictionaries.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries.html	(from https://www.w3schools.com/python/default.asp)
13:02:00	96671/96671	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:33:05%20GMT	https://www.w3schools.com/python/python_dictionaries_access.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_access.html	(from https://www.w3schools.com/python/default.asp)
13:02:00	91352/91352	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:37:31%20GMT	https://www.w3schools.com/python/python_dictionaries_change.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_change.html	(from https://www.w3schools.com/python/default.asp)
